case_id;level
s0002;C3
s0003;C3
s0021;C3
s0025;C3
s0036;C3
s0043;C3
s0061;C3
s0079;C3
s0081;C3
s0100;C3
s0130;C3
s0136;C3
s0152;C3
s0154;C3
s0170;C3
s0217;C3
s0226;C3
s0259;C3
s0263;C3
s0278;C3
s0279;C3
s0281;C3
s0289;C3
s0295;C3
s0312;C3
s0326;C3
s0333;C3
s0396;C3
s0412;C3
s0453;C3
s0457;C3
s0491;C3
s0497;C3
s0504;C3
s0526;C3
s0527;C3
s0552;C3
s0559;C3
s0563;C3
s0585;C3
s0597;C3
s0622;C3
s0624;C3
s0636;C3
s0642;C3
s0643;C3
s0690;C3
s0777;C3
s0786;C3
s0790;C3
s0809;C3
s0849;C3
s0851;C3
s0853;C3
s0868;C3
s0870;C3
s0897;C3
s0909;C3
s0949;C3
s0960;C3
s0970;C3
s1036;C3
s1045;C3
s1051;C3
s1062;C3
s1071;C3
s1075;C3
s1107;C3
s1129;C3
s1138;C3
s1147;C3
s1154;C3
s1159;C3
s1163;C3
s1169;C3
s1182;C3
s1184;C3
s1220;C3
s1299;C3
s1304;C3
s1314;C3
s1335;C3
s1349;C3
s1369;C3
s1380;C3
s0002;C4
s0003;C4
s0021;C4
s0025;C4
s0036;C4
s0043;C4
s0061;C4
s0079;C4
s0081;C4
s0100;C4
s0130;C4
s0136;C4
s0152;C4
s0154;C4
s0170;C4
s0217;C4
s0226;C4
s0259;C4
s0263;C4
s0278;C4
s0279;C4
s0281;C4
s0289;C4
s0295;C4
s0312;C4
s0326;C4
s0333;C4
s0396;C4
s0412;C4
s0453;C4
s0457;C4
s0491;C4
s0497;C4
s0504;C4
s0526;C4
s0527;C4
s0552;C4
s0559;C4
s0563;C4
s0585;C4
s0597;C4
s0622;C4
s0624;C4
s0636;C4
s0642;C4
s0643;C4
s0690;C4
s0777;C4
s0790;C4
s0809;C4
s0849;C4
s0851;C4
s0853;C4
s0868;C4
s0870;C4
s0897;C4
s0909;C4
s0931;C4
s0949;C4
s0960;C4
s0970;C4
s1036;C4
s1045;C4
s1051;C4
s1062;C4
s1071;C4
s1075;C4
s1107;C4
s1129;C4
s1138;C4
s1147;C4
s1154;C4
s1159;C4
s1163;C4
s1169;C4
s1182;C4
s1184;C4
s1220;C4
s1299;C4
s1304;C4
s1314;C4
s1335;C4
s1349;C4
s1369;C4
s1380;C4
s0002;C5
s0003;C5
s0021;C5
s0025;C5
s0036;C5
s0043;C5
s0061;C5
s0079;C5
s0081;C5
s0100;C5
s0130;C5
s0136;C5
s0152;C5
s0154;C5
s0170;C5
s0185;C5
s0196;C5
s0217;C5
s0226;C5
s0259;C5
s0263;C5
s0278;C5
s0279;C5
s0281;C5
s0289;C5
s0295;C5
s0312;C5
s0326;C5
s0333;C5
s0396;C5
s0412;C5
s0453;C5
s0457;C5
s0491;C5
s0497;C5
s0504;C5
s0526;C5
s0527;C5
s0552;C5
s0559;C5
s0563;C5
s0585;C5
s0597;C5
s0622;C5
s0624;C5
s0636;C5
s0642;C5
s0643;C5
s0690;C5
s0777;C5
s0790;C5
s0804;C5
s0809;C5
s0849;C5
s0851;C5
s0853;C5
s0868;C5
s0870;C5
s0897;C5
s0909;C5
s0931;C5
s0949;C5
s0960;C5
s0970;C5
s1018;C5
s1036;C5
s1045;C5
s1051;C5
s1062;C5
s1071;C5
s1075;C5
s1105;C5
s1107;C5
s1129;C5
s1138;C5
s1147;C5
s1154;C5
s1159;C5
s1163;C5
s1169;C5
s1182;C5
s1184;C5
s1220;C5
s1299;C5
s1304;C5
s1314;C5
s1335;C5
s1349;C5
s1369;C5
s1380;C5
s0002;C6
s0003;C6
s0021;C6
s0025;C6
s0036;C6
s0043;C6
s0061;C6
s0079;C6
s0081;C6
s0100;C6
s0130;C6
s0136;C6
s0152;C6
s0154;C6
s0170;C6
s0185;C6
s0196;C6
s0217;C6
s0226;C6
s0259;C6
s0263;C6
s0278;C6
s0279;C6
s0281;C6
s0289;C6
s0295;C6
s0312;C6
s0326;C6
s0333;C6
s0396;C6
s0412;C6
s0453;C6
s0457;C6
s0491;C6
s0497;C6
s0504;C6
s0526;C6
s0527;C6
s0552;C6
s0559;C6
s0563;C6
s0585;C6
s0597;C6
s0622;C6
s0624;C6
s0636;C6
s0642;C6
s0643;C6
s0690;C6
s0777;C6
s0785;C6
s0790;C6
s0804;C6
s0809;C6
s0849;C6
s0851;C6
s0853;C6
s0868;C6
s0870;C6
s0897;C6
s0909;C6
s0919;C6
s0931;C6
s0949;C6
s0960;C6
s0970;C6
s1013;C6
s1018;C6
s1036;C6
s1045;C6
s1051;C6
s1062;C6
s1071;C6
s1075;C6
s1105;C6
s1107;C6
s1129;C6
s1138;C6
s1147;C6
s1154;C6
s1159;C6
s1163;C6
s1169;C6
s1182;C6
s1184;C6
s1220;C6
s1230;C6
s1299;C6
s1304;C6
s1314;C6
s1335;C6
s1349;C6
s1369;C6
s1380;C6
s0003;C7
s0021;C7
s0025;C7
s0028;C7
s0036;C7
s0043;C7
s0061;C7
s0079;C7
s0081;C7
s0100;C7
s0130;C7
s0136;C7
s0152;C7
s0154;C7
s0170;C7
s0185;C7
s0191;C7
s0196;C7
s0217;C7
s0226;C7
s0259;C7
s0263;C7
s0278;C7
s0279;C7
s0281;C7
s0289;C7
s0295;C7
s0312;C7
s0326;C7
s0333;C7
s0396;C7
s0412;C7
s0447;C7
s0453;C7
s0457;C7
s0491;C7
s0497;C7
s0504;C7
s0526;C7
s0527;C7
s0530;C7
s0552;C7
s0559;C7
s0563;C7
s0585;C7
s0597;C7
s0621;C7
s0622;C7
s0624;C7
s0636;C7
s0642;C7
s0643;C7
s0659;C7
s0777;C7
s0785;C7
s0790;C7
s0804;C7
s0809;C7
s0845;C7
s0849;C7
s0851;C7
s0853;C7
s0868;C7
s0897;C7
s0909;C7
s0919;C7
s0949;C7
s0960;C7
s0970;C7
s0978;C7
s1007;C7
s1013;C7
s1018;C7
s1036;C7
s1045;C7
s1051;C7
s1062;C7
s1071;C7
s1075;C7
s1105;C7
s1107;C7
s1129;C7
s1138;C7
s1147;C7
s1154;C7
s1157;C7
s1159;C7
s1163;C7
s1169;C7
s1182;C7
s1184;C7
s1220;C7
s1230;C7
s1299;C7
s1304;C7
s1314;C7
s1332;C7
s1335;C7
s1338;C7
s1349;C7
s1369;C7
s1370;C7
s1380;C7
